fert,noninh,fertsub,hh_landaccess,numadults,district,hh_couple,sea_group,hh_number_cattle,hh_aindex,female_agriculture
0,0,1,4.75,7.44,403,1,154,0,0.1536550521850586,1
0,0,1,2.875,5.76,605,1,223,0,-0.07103703171014786,1
100,0,0,2,4.706666666666667,406,0,171,0,-0.1938706636428833,1
0,0,1,2,4.48,611,1,267,0,-0.36882948875427246,1
0,0,0,0.9375,5.999999999999999,606,0,230,0,-0.4916630983352661,1
0,0,1,1.1875,5.279999999999999,606,1,235,0,-0.021303776651620865,1
0,0,0,1.75,4.62,611,0,271,0,-0.1938706636428833,1
0,0,1,1.625,3.61,609,1,257,0,-0.4916630983352661,1
0,0,0,0.75,5.726666666666667,601,1,200,0,-0.4916630983352661,1
0,0,1,0.5,4.3,602,1,208,0,0.1536550521850586,1
200,0,1,1.75,4.4,602,1,207,0,-0.31670427322387695,1
0,1,1,0.25,2.1333333333333333,602,0,206,0,-0.4916630983352661,1
100,0,1,0.9375,4.68,602,1,201,6,0.4933740794658661,1
0,1,1,101.375,4.72,605,1,226,0,-0.1938706636428833,1
0,1,1,1.5,3.078333333333333,402,0,148,0,-0.4916630983352661,1
100,0,0,2,2.6733333333333333,601,1,197,0,1.025602102279663,1
0,0,0,2,3.37,611,1,270,0,-0.1938706636428833,1
400,1,1,1.25,4.76,103,1,15,0,0.03082142397761345,1
0,0,0,0.25,6.28,401,1,138,0,3.7915191650390625,1
100,0,1,0.625,3.4699999999999998,605,1,229,0,-0.1938706636428833,1
0,0,0,3.5,6.279999999999999,606,1,230,0,-0.36882948875427246,1
200,0,1,1.5,2.6399999999999997,605,0,225,0,0.27648866176605225,1
0,1,1,21,6.56,608,1,251,0,-0.1938706636428833,1
0,0,0,1.0125000000000002,3.7199999999999998,610,1,264,0,-0.36882948875427246,1
0,0,0,0.5,6.52,606,1,236,0,-0.4916630983352661,1
0,0,0,0.25,1.58,606,1,236,0,-0.4916630983352661,1
0,0,0,0.375,6.2,606,1,236,0,-0.36882948875427246,1
0,0,0,0.5,4.468333333333333,602,1,203,0,-0.4916630983352661,1
0,1,1,2.6325000000000003,6.01,303,1,76,0,-0.1938706636428833,1
0,0,0,1.5,3.08,604,1,217,0,-0.1938706636428833,1
0,1,0,3.5,5.08,605,1,222,0,-0.1938706636428833,1
0,0,0,0.625,4.220000000000001,611,1,270,0,-0.4916630983352661,1
0,0,0,5.0600000000000005,0.74,606,0,232,0,-0.4916630983352661,1
0,1,1,2.06,1.8,610,1,263,0,-0.24599586427211761,1
0,0,1,2.25,4.51,608,1,247,0,-0.31670427322387695,1
500,1,1,2.375,6.059999999999999,605,1,226,0,-0.31670427322387695,1
0,0,0,1.1875,1.62,606,0,232,0,-0.4916630983352661,1
200,0,0,2.75,5.46,604,1,220,0,-0.36882948875427246,1
0,1,0,1.75,5.779999999999999,605,1,222,0,-0.1938706636428833,1
0,1,0,1.875,9.52,609,1,258,0,-0.1938706636428833,1
0,0,1,1.125,6.9799999999999995,606,1,231,0,-0.1938706636428833,1
0,0,1,0.375,1.88,501,0,184,0,-0.4916630983352661,1
0,1,0,2.625,7.52,605,1,222,0,-0.36882948875427246,1
0,0,1,6.125,4.16,403,1,156,0,-0.1938706636428833,1
100,1,1,0.75,4.949999999999999,611,1,265,0,-0.1938706636428833,1
200,0,1,1,5.52,602,1,204,0,0.1536550521850586,1
200,0,1,28,6.495000000000001,608,0,252,0,0.03082142397761345,1
200,0,1,0.75,8,605,1,229,0,-0.1938706636428833,1
0,0,1,1.5,3.96,602,1,207,0,-0.07103703171014786,1
0,0,0,1.5,5.03,405,1,160,0,-0.4916630983352661,1
200,0,1,0.875,5.5,608,1,252,0,0.9265655279159546,1
0,0,0,5.75,3.46,405,1,164,0,-0.4916630983352661,1
0,0,0,1.625,8.14,406,1,169,0,NA,1
0,0,1,4.5,2.3000000000000003,402,1,141,0,-0.36882948875427246,1
0,0,1,1.8125,5.63,402,1,143,0,-0.1938706636428833,1
400,0,0,101.875,7.39,611,1,268,0,-0.36882948875427246,1
0,0,1,0.25,0.74,605,0,229,0,-0.4916630983352661,1
0,1,0,14,1.78,609,0,258,0,-0.31670427322387695,1
